"Year","Mexico","JN_ROOST_8","JN_ROOST_9","jet3as","jet4s","jet5as","jet5m","jet6m","jet6mas","jet8as","jet8m","jet9m","jet9ms","jet10m","jet11m"
2004,2.19,10,29,36.6666666666667,28.5416666666667,50,48.75,44.0909090909091,45,48.0555555555556,45,55,56.5,32.5,32.5
2005,5.91,36,90,32.5,27.0833333333333,42.5,37.5,58.1818181818182,54.1666666666667,47.5,47.5,50.625,52.5,52.5,52.5
2006,6.87,33,72,35,43.75,38.75,29.5833333333333,46.8181818181818,53.3333333333333,45,47.5,36.875,35,33.75,32.5
2007,4.61,68,93,40,31.0416666666667,39.375,49.5833333333333,52.7272727272727,52.5,48.8888888888889,48.75,52.5,51.5,50,50
2008,5.06,13,64,40,43.5416666666667,35,34.1666666666667,42.7272727272727,42.5,38.8888888888889,65,55,58.5,61.875,65.625
2009,1.92,37,83,40,32.5,45,47.5,45,46.6666666666667,49.1666666666667,47.5,60.625,64,35,33.75
2010,4.02,63,177,27.5,26.25,41.25,42.5,45,45,44.4444444444444,47.5,46.25,44.5,57.5,57.5
2011,2.89,19,79,40,45.2083333333333,32.5,52.9166666666667,47.0454545454545,42.5,45,45,60,62.5,46.875,47.5
2012,1.19,18,90,48.3333333333333,36.6666666666667,36.25,48.3333333333333,46.8181818181818,46.6666666666667,47.5,47.5,42.5,67.5,43.125,44.375
2013,0.67,1,38,32.5,42.0833333333333,26.875,55.8333333333333,45.6818181818182,45,43.6111111111111,47.5,61.25,65,33.125,32.5
2014,1.13,13,108,42.5,44.5833333333333,25,38.75,45.2272727272727,40.8333333333333,45.5555555555556,62.5,57.5,61,46.25,48.75
2015,4.01,32,191,40,36.0416666666667,39.375,52.0833333333333,47.0454545454545,49.1666666666667,42.7777777777778,47.5,52.5,54,65,65
2016,2.91,16,124,43.3333333333333,40.625,28.75,41.6666666666667,44.7727272727273,47.5,46.9444444444444,47.5,50,50,45.625,43.75
2017,2.48,39,96,40,52.5,29.375,40,42.0454545454545,45,41.9444444444444,40,52.5,60.5,42.5,46.25
2018,6.05,149,381,32.5,40.625,58.75,48.3333333333333,53.4090909090909,68.3333333333333,56.6666666666667,57.5,52.5,50,48.125,49.375
