Year,Mexico,JN_ROOST_8,JN_ROOST_9
1993,6.23,NA,NA
1994,7.81,NA,NA
1995,12.61,NA,NA
1996,18.19,NA,NA
1997,5.77,NA,NA
1998,5.56,NA,NA
1999,8.97,NA,NA
2000,3.83,NA,NA
2001,9.36,NA,NA
2002,7.54,3,14
2003,11.12,15,60
2004,2.19,10,29
2005,5.91,36,90
2006,6.87,33,72
2007,4.61,68,93
2008,5.06,13,64
2009,1.92,37,83
2010,4.02,63,177
2011,2.89,19,79
2012,1.19,18,90
2013,0.67,1,38
2014,1.13,13,108
2015,4.01,32,191
2016,2.91,16,124
2017,2.48,39,96
2018,6.05,149,381
2019,2.83,124,449
2020,2.1,71,273
2021,2.84,40,285
